sortNumber;code;officialTitle;mediumTitle;shortTitle
1514;SK0323508934;Predajna;Predajna;Predajna
1515;SK0323508951;Raztoka;Raztoka;Raztoka
1516;SK0323508993;Sihla;Sihla;Sihla
1517;SK0323509043;Sumiac;Sumiac;Sumiac
1518;SK0323509051;Telgart;Telgart;Telgart
1519;SK0323509086;Valaska;Valaska;Valaska
1520;SK0323509094;Valkovna;Valkovna;Valkovna
1521;SK0323509124;Zavadka nad Hronom;Zavadka nad Hronom;Zavadka nad Hronom
1522;SK0323557251;Bystra;Bystra;Bystra
1523;SK0324511510;Latky;Latky;Latky
1524;SK0324511731;Podkrivan;Podkrivan;Podkrivan
1525;SK0324518263;Detva;Detva;Detva
1526;SK0324518271;Detvianska Huta;Detvianska Huta;Detvianska Huta
1527;SK0324518379;Dubravy;Dubravy;Dubravy
1528;SK0324518450;Horny Tisovnik;Horny Tisovnik;Horny Tisovnik
1529;SK0324518468;Hrinova;Hrinova;Hrinova
1530;SK0324518492;Klokoc;Klokoc;Klokoc
1531;SK0324518549;Krivan;Krivan;Krivan
1532;SK0324518794;Slatinske Lazy;Slatinske Lazy;Slatinske Lazy
1533;SK0324518816;Stara Huta;Stara Huta;Stara Huta
1534;SK0324518824;Stozok;Stozok;Stozok
1535;SK0324518921;Viglas;Viglas;Viglas
1536;SK0324518930;Viglasska Huta-Kalinka;Viglasska Huta-Kalinka;Viglasska Huta-Kalinka
1537;SK0324580520;Korytarky;Korytarky;Korytarky
1538;SK0325518212;Bzovik;Bzovik;Bzovik
1539;SK0325518239;Cerovo;Cerovo;Cerovo
1540;SK0325518247;Cabradsky Vrbovok;Cabradsky Vrbovok;Cabradsky Vrbovok
1541;SK0325518255;Cekovce;Cekovce;Cekovce
1542;SK0325518280;Devicie;Devicie;Devicie
1543;SK0325518301;Dolne Mladonice;Dolne Mladonice;Dolne Mladonice
1544;SK0325518310;Dolny Badin;Dolny Badin;Dolny Badin
1545;SK0325518336;Domaniky;Domaniky;Domaniky
1546;SK0325518344;Drazovce;Drazovce;Drazovce
1547;SK0325518352;Drienovo;Drienovo;Drienovo
1548;SK0325518387;Dudince;Dudince;Dudince
1549;SK0325518409;Hontianske Moravce;Hontianske Moravce;Hontianske Moravce
1550;SK0325518417;Hontianske Nemce;Hontianske Nemce;Hontianske Nemce
1551;SK0325518425;Hontianske Tesare;Hontianske Tesare;Hontianske Tesare
1552;SK0325518433;Horne Mladonice;Horne Mladonice;Horne Mladonice
1553;SK0325518441;Horny Badin;Horny Badin;Horny Badin
